protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,new_half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb04.24M18.150,,,,,,,,none,,Tb04.24M18.150,"hypothetical protein, conserved",0,GO:0005739|mitochondrion,,0.7989317377795552,,0.4834261206176044,0.4206475204404454,,,,,,0.6113996719214836,,,,,,,,,,
Tb927.5.4450,0.9926870389531376,,6.747619870816866,,5.206864717166582e-09,,4.636558312118085,3.0,0.04565647937357765,Tb927.5.4450;Tb05.5K5.100,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,0.921368033693268,0.7203766695054318,0.8305684288767073,0.6651134882788446,0.4297475509240216,0.17049911431875742,,0.9221981194795328,,0.7562701086956523,0.6183353820114041,0.3693398924731183,0.15765995040683836,,,,0.7342798221066199,0.5464034496798313,0.3111159631955601,0.11605387602802315
Tb927.5.4460,0.990636085532953,,8.566438381704486,,3.554045946430051e-12,,5.897267199834574,6.0,0.023627853042980297,Tb927.5.4460;Tb05.5K5.110,"major vault protein, putative;major vault protein, putative",1,GO:0005737|cytoplasm,0.9632342370218744,0.9058501897069436,0.884178012834237,0.8130647759430294,0.6446869348939285,0.3817741222530942,0.2437268204291081,0.9433073321170564,0.9336020126899524,0.8960850953431054,0.8295309541150766,0.6309725383098164,0.3864762597540008,0.22720099400672414,0.9315195460647024,0.9240084918110129,0.8766074723247232,0.7952277600633441,0.6426548174958393,0.39516910962828783,0.21260809635329544
Tb927.5.4470,0.9807384352743008,0.16057971909076565,8.548921708576026,3.1468856291632257,0.01249685983152049,0.19223996856789705,5.994008480869665,7.0,0.035822326612013004,Tb927.5.4470;Tb05.5K5.120,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0035869|ciliary transition zone; GO:0005929|cilium,,0.8263592302102764,0.8571425898495362,0.7961031809620928,0.5603296506419827,0.4013050285259388,0.330976975453337,,0.8722799441715569,0.8830490654205608,0.7889149966292824,0.6118296270423411,0.3866433741787727,0.252725851849399,,0.8993923242417934,0.843846818067414,0.7899087645052733,0.5830533129922072,0.3941154570540056,0.28712300172212857
Tb927.5.4480,1.116909515064772,,8.722770785380911,,1.3962608846895822e-11,,6.005628564750836,7.0,0.0539407684039078,Tb927.5.4480;Tb05.5K5.130,"paraflagellar rod component par4, putative;paraflagellar rod component par4, putative",1,none,1.008286100252932,0.995068758794386,0.9442317559564916,0.8887094575872629,0.7006823965211789,0.4466539513609663,0.2701786228193563,1.0247061517152578,0.953289534106564,0.9627903927378176,0.8910398264723912,0.7135621219531029,0.43328402448992176,0.2763442184154176,0.9892571585168412,0.9767958662849119,0.9519317255502318,0.8903293387955129,0.7218170518658533,0.4362909103445898,0.2685745834510025
Tb927.5.4500,0.9763129567127636,,10.346422330568636,,2.6684756626593753e-09,,7.131058083520377,10.0,0.06442147110924985,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative;small GTP-binding protein, putative",1,GO:0005622|intracellular; GO:0006886|intracellular protein transport; GO:0005525|GTP binding,0.9611257852655628,0.9666715391361882,0.9134772236855042,0.8995088380593392,0.7379642405543474,0.3894750752558699,0.21430745118437355,0.9567231877914372,0.9953961276272884,0.9675469503207044,0.8791763407724043,0.7322187345197966,0.3908798948987057,0.2158253289208168,0.9579867588355564,1.0071296122450806,0.9387900674381816,0.8813007337347342,0.7332998842547437,0.3964826472430045,0.22741582971924215
Tb927.5.4520,0.9248092606844004,,7.9028073970647625,,1.6516121803533681e-10,,5.4372732552697185,none,0.10428818374206107,Tb927.5.4520;Tb05.5K5.160,"Kinetochore interacting protein 1;hypothetical protein, conserved",0,GO:0005634|nucleus; GO:0005819|spindle; GO:0000922|spindle pole; GO:0000776|kinetochore; GO:0005737|cytoplasm,0.9339332692502276,0.932270773786268,0.8242422084761101,0.387043491613916,0.6100870069605568,0.3541638344617317,0.18169839252527448,0.9148891558646854,0.8751672529778436,0.7643656447973414,0.3729353774500291,0.7411313841730722,0.32596669138196543,0.1991576722208406,0.9265693421911784,0.8294887795046704,0.8309184593321041,0.6174405052862831,0.6045542791884992,0.3303678990081155,0.20572199945849076
Tb927.5.4560,1.0984259896123034,,8.505338483232912,,6.224456505776742e-10,,5.854915982232564,6.0,0.03673930102537897,Tb927.5.4560;Tb11.v5.0409;Tb05.5K5.200,"guanine deaminase, putative;guanine deaminase, putative;guanine deaminase, putative",1,"GO:0005737|cytoplasm; GO:0006147|guanine catabolic process; GO:0016810|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0097014|ciliary plasm; GO:0008270|zinc ion binding; GO:0008892|guanine deaminase activity; GO:0005654|nucleoplasm; GO:0020015|glycosome; GO:0016787|hydrolase activity",1.0224991495494158,1.0040512796959502,0.9631639215097738,0.8878647394151181,0.7116814989553144,0.4286710945624099,0.2738866334469797,1.013834745385351,1.0131131455470817,0.9636569672695302,0.8826917258397543,0.7167457750521555,0.4396327848685223,0.2571138855715992,0.9995567018562412,1.0066342444863072,0.9742602047450224,0.8746578221977201,0.7150262165450122,0.4380318180232356,0.2597282070564642
Tb05.5K5.210,0.8975920901254855,0.02793345576811531,4.975799178290153,0.6890926558330749,0.08993432615711727,0.030723548288454687,3.9275830811019885,2.0,0.0233327375605855,Tb05.5K5.210;Tb927.5.4570,hypothetical protein;Flagellum adhesion protein 3,1,none,0.9588952094591848,0.9294567436738628,0.8232792459959278,0.636169681007551,0.4869411489019818,0.3176850892181854,0.19361474155829966,1.0095539952938792,0.8997999594854654,0.8336061794701588,0.6771159288072056,0.4564699052856706,0.2976323234527821,0.17193893932154802,0.923597447458758,0.9097659202436686,0.8667525587879233,0.6581005791616492,0.4568176209421669,0.29357189083389895,0.1652322800836728
Tb927.5.4580,,,,,,,,none,,Tb927.5.4580;Tb05.5K5.220,Flagellum adhesion protein 3;hypothetical protein,0,none,,,,,,,,,,,,,,,,,,,,,
